Title,Explain,TestPoint,Answer,OptionA,OptionB,OptionC,OptionD,OptionE,StyleType,AllTestID,ATestID,SrcID,SbjID,CptID,章节名称,科目名称,试题名称
环境污染物危险度评价中的暴露评价可以估计出,"暴露评价用以估计人群对受评物暴露的强度、频率、持续时间，初步了解人群对受试物的暴露情况。
　　【避错】记忆性题。",,E,某化学物在环境介质中的浓度,某化学物对机体产生危害的程度,某化学物是否对机体产生危害,危险物特征,人群对某化学物暴露的强度、频率和持续时间,ATEST,43024608,,3,18,898,历年真题,历年真题,2017年真题第二单元
我国卫生事业的性质是,"我国卫生事业的性质是政府实行一定福利政策的社会公益事业。
　　【避错】记忆性题。",,D,政府实行福利政策的事业,政府通过购买形式为人民提供服务的事业,政府许可的盈利性事业,政府实行一定福利政策的社会公益事业,政府实行的社会公益事业,ATEST,43024609,,3,18,898,历年真题,历年真题,2017年真题第二单元
诊断羊水栓塞的主要病理依据是,"羊水栓塞是由于污染羊水中的有形物质（胎儿毳毛，角化上皮，胎脂，胎粪）和促凝物质进入母体血液循环，引起肺血管栓塞和痉挛。羊水栓塞的证据是在显微镜下观察到肺小动脉和毛细血管内有羊水成分，包括角化鳞状上皮、胎毛、胎脂、胎粪和黏液。也可在母体血液涂片中找到羊水成分。
　　【避错】羊水栓塞是指在分娩过程中羊水突然进入母体血液循环引起急性肺栓塞，过敏性休克，弥散性血管内凝血，肾功能衰竭或猝死的严重的分娩期并发症。",,D,肺泡腔内透明膜形成,肺泡腔内有胎粪小体,肺泡腔内广泛出血,肺血管内有角化上皮,微循环内透明血栓,ATEST,43024610,,3,18,898,历年真题,历年真题,2017年真题第二单元
地塞米松的临床应用不包括,"地塞米松是糖皮质类激素，长期使用可以导致而非治疗骨质疏松。
　　【避错】地塞米松主要用于过敏性与自身免疫性炎症性疾病。如结缔组织病、严重的支气管哮喘、皮炎等过敏性疾病、溃疡性结肠炎、急性白血病、恶性淋巴瘤等。",,D,风湿性心肌炎,感染中毒性休克,过敏性紫癜,骨质疏松,系统性红斑狼疮,ATEST,43024611,,3,18,898,历年真题,历年真题,2017年真题第二单元
下列属于正氮平衡的情况是,"正氮平衡是指氮的摄入量超过排出量。儿童生长发育期、孕妇、哺乳期及康复患者，由于体内需要蛋白质合成新组织，或合成酶和激素以满足生理需要，食入氮量多于排出量，蛋白的合成代谢超过分解代谢，即可出现正氮平衡。
　　【避错】饥饿、食物蛋白质含量少和营养价值低及消耗性疾病患者均可出现氮的负平衡，A、B、D、E均属于负氮平衡。",,C,创伤,饥饿,妊娠,出血,贫血,ATEST,43024612,,3,18,898,历年真题,历年真题,2017年真题第二单元
肠道病毒一般不引起的疾病是,"尿道炎多为致病菌逆行侵入尿道引起，而非肠道病毒感染所致。
　　【避错】肠道病毒包括脊髓灰质炎病毒、柯萨奇病毒和在人类肠道致细胞病变的孤儿病毒（ECHO病毒）。手足口病是由肠道病毒等感染引起的，多发生于春夏季。疱疹性咽峡炎主要由柯萨奇A群及B群病毒引起。",,A,尿道炎,手足口病,脊髓灰质炎,无菌性脑炎,心肌炎,ATEST,43024613,,3,18,898,历年真题,历年真题,2017年真题第二单元
《医疗机构从业人员行为规范》提出的医疗机构从业人员执业的价值目标是,"《医疗机构从业人员行为规范》第4条，以人为本，践行宗旨。坚持救死扶伤、防病治病的宗旨，发扬大医精诚理念和人道主义精神，以患者为中心，全心全意为人民健康服务。
　　【避错】医疗机构从业人员理想的人格形象是大医精诚；医疗机构从业人员的职业道德手段是救死扶伤。",,A,为人民健康服务,发扬人道主义精神,树立大医精诚理念,以患者为中心,救死扶伤、防病治病,ATEST,43024614,,3,18,898,历年真题,历年真题,2017年真题第二单元
依据《精神卫生法》，给予吊销精神科医师执业证书处罚的情形是,"将非精神障碍患者诊断为精神障碍患者，相当于给好人判刑。
　　【避错】《精神卫生法》第75条医疗机构及其工作人员有下列行为之一的，由县级以上人民政府卫生行政部门责令改正，对直接负责的主管人员和其他直接责任人员依法给予或者责令给予降低岗位等级或者撤职的处分；对有关医务人员，暂停6个月以上1年以下执业活动；情节严重的，给予或者责令给予开除的处分，并吊销有关医务人员的执业证书：①违反本法规定实施约束、隔离等保护性医疗措施的；②违反本法规定，强迫精神障碍患者劳动的；③违反本法规定对精神障碍患者实施外科手术或者实验性临床医疗的；④违反本法规定，侵害精神障碍患者的通讯和会见探访者等权利的；⑤违反精神障碍诊断标准，将非精神障碍患者诊断为精神障碍患者的。",,C,未及时对有伤害自身危险的患者进行检查评估的,精神障碍患者对再次诊断结论有异议的,故意将非精神障碍患者诊断为精神障碍患者的,对实施住院治疗的患者未根据评估结果作出处理的,拒绝对送诊的疑似精神障碍患者作出诊断的,ATEST,43024615,,3,18,898,历年真题,历年真题,2017年真题第二单元
观察某种新研制甲肝疫苗的预防效果，研究对象最好选择,"甲肝高发区无免疫人群使用甲肝疫苗，方便检验其预防效果。
　　【避错】接种甲肝疫苗后8周左右便可产生很高的抗体，获得良好的免疫力。因此，甲肝疫苗具有良好的免疫保护作用。凡是对甲肝病毒易感者，年龄在1周岁以上的儿童、成人均应接种，接种本疫苗后可刺激机体产生抗甲型肝炎病毒的免疫力，用于预防甲型肝炎。",,A,甲肝高发区无免疫人群,医院中非肝病区患者,甲肝低发区无免疫人群,医院中血制品接触者,近期曾有甲肝暴发地区的人群,ATEST,43024616,,3,18,898,历年真题,历年真题,2017年真题第二单元
反映均数抽样误差大小的指标是,"标准误，即样本均数的标准差，是描述均数抽样分布的离散程度及衡量均数抽样误差大小的尺度，反映的是样本均数之间的变异，故标准误用来衡量抽样误差。
　　【避错】变异系数是衡量资料中各观测值变异程度的另一个统计量。均数与平均意义相同。标准差定义为方差的算术平方根，反映组内个体间的离散程度。全距也称为极差，是指总体各单位的两个极端标志值之差，可反映总体标志值的差异范围。",,B,变异系数,标准误,均数,标准差,全距,ATEST,43024617,,3,18,898,历年真题,历年真题,2017年真题第二单元
