first_id,first_name,second_id,second_name,third_id,third_name
9,章节练习,37,基础医学综合-生物化学,2,蛋白质的结构与功能
9,章节练习,37,基础医学综合-生物化学,35,核酸的结构与功能
9,章节练习,37,基础医学综合-生物化学,63,酶
9,章节练习,37,基础医学综合-生物化学,100,糖代谢
9,章节练习,37,基础医学综合-生物化学,128,生物氧化
9,章节练习,37,基础医学综合-生物化学,155,脂类代谢
9,章节练习,37,基础医学综合-生物化学,181,氨基酸代谢
9,章节练习,37,基础医学综合-生物化学,207,核苷酸代谢
9,章节练习,37,基础医学综合-生物化学,231,遗传信息的传递
9,章节练习,37,基础医学综合-生物化学,251,蛋白质生物合成
9,章节练习,37,基础医学综合-生物化学,267,基因表达调控
9,章节练习,37,基础医学综合-生物化学,283,信息传导
9,章节练习,37,基础医学综合-生物化学,297,重组DNA技术
9,章节练习,37,基础医学综合-生物化学,315,癌基因与抑癌基因(A1型题)
9,章节练习,37,基础医学综合-生物化学,319,血液生化
9,章节练习,37,基础医学综合-生物化学,330,肝生化
9,章节练习,37,基础医学综合-生物化学,346,维生素
9,章节练习,37,基础医学综合-生物化学,356,综合复习题
9,章节练习,36,基础医学综合-生理学,1,细胞的基本功能
9,章节练习,36,基础医学综合-生理学,34,血液
9,章节练习,36,基础医学综合-生理学,62,血液循环
9,章节练习,36,基础医学综合-生理学,99,呼吸
9,章节练习,36,基础医学综合-生理学,127,消化和吸收
9,章节练习,36,基础医学综合-生理学,154,能量代谢和体温
9,章节练习,36,基础医学综合-生理学,180,尿的生成和排出
9,章节练习,36,基础医学综合-生理学,206,神经系统的功能
9,章节练习,36,基础医学综合-生理学,230,内分泌
9,章节练习,36,基础医学综合-生理学,250,生殖
9,章节练习,36,基础医学综合-生理学,282,综合复习题
9,章节练习,40,基础医学综合-医学微生物学,5,微生物的基本概念
9,章节练习,40,基础医学综合-医学微生物学,38,细菌的形态与结构
9,章节练习,40,基础医学综合-医学微生物学,439,细菌的生理
9,章节练习,40,基础医学综合-医学微生物学,103,消毒与灭菌(A1型题)
9,章节练习,40,基础医学综合-医学微生物学,145,噬菌体(A1型题)
9,章节练习,40,基础医学综合-医学微生物学,172,细菌的遗传与变异
9,章节练习,40,基础医学综合-医学微生物学,184,细菌的感染与免疫
9,章节练习,40,基础医学综合-医学微生物学,222,细菌感染的检查方法与防治原则
9,章节练习,40,基础医学综合-医学微生物学,232,病原性球菌
9,章节练习,40,基础医学综合-医学微生物学,260,肠道杆菌
9,章节练习,40,基础医学综合-医学微生物学,270,弧菌属
9,章节练习,40,基础医学综合-医学微生物学,285,厌氧性杆菌
9,章节练习,40,基础医学综合-医学微生物学,299,棒状杆菌属
9,章节练习,40,基础医学综合-医学微生物学,309,分枝杆菌属
9,章节练习,40,基础医学综合-医学微生物学,453,放线菌数和诺卡氏菌属
9,章节练习,40,基础医学综合-医学微生物学,332,动物源性细菌
9,章节练习,40,基础医学综合-医学微生物学,341,其他细菌
9,章节练习,40,基础医学综合-医学微生物学,457,支原体
9,章节练习,40,基础医学综合-医学微生物学,357,立克次氏体
9,章节练习,40,基础医学综合-医学微生物学,459,衣原体
9,章节练习,40,基础医学综合-医学微生物学,370,螺旋体
9,章节练习,40,基础医学综合-医学微生物学,461,真菌
9,章节练习,40,基础医学综合-医学微生物学,378,病毒的基本性状
9,章节练习,40,基础医学综合-医学微生物学,381,病毒的感染和免疫
9,章节练习,40,基础医学综合-医学微生物学,382,病毒感染的检查方法
9,章节练习,40,基础医学综合-医学微生物学,385,呼吸道病毒
9,章节练习,40,基础医学综合-医学微生物学,462,肠道病毒
9,章节练习,40,基础医学综合-医学微生物学,388,肝炎病毒
9,章节练习,40,基础医学综合-医学微生物学,391,黄病毒
9,章节练习,40,基础医学综合-医学微生物学,393,出血热病毒
9,章节练习,40,基础医学综合-医学微生物学,395,疱疹病毒
9,章节练习,40,基础医学综合-医学微生物学,397,逆转录病毒
9,章节练习,40,基础医学综合-医学微生物学,399,其他病毒
9,章节练习,40,基础医学综合-医学微生物学,400,亚病毒
9,章节练习,41,基础医学综合-医学免疫学,23,绪论
9,章节练习,41,基础医学综合-医学免疫学,39,抗原
9,章节练习,41,基础医学综合-医学免疫学,67,免疫器官
9,章节练习,41,基础医学综合-医学免疫学,408,免疫细胞
9,章节练习,41,基础医学综合-医学免疫学,104,免疫球蛋白
9,章节练习,41,基础医学综合-医学免疫学,131,补体系统
9,章节练习,41,基础医学综合-医学免疫学,158,细胞因子
9,章节练习,41,基础医学综合-医学免疫学,447,白细胞分化抗原和黏附分子
9,章节练习,41,基础医学综合-医学免疫学,209,主要组织相容性复合体及其编码分子
9,章节练习,41,基础医学综合-医学免疫学,233,免疫应答
9,章节练习,41,基础医学综合-医学免疫学,449,黏膜免疫
9,章节练习,41,基础医学综合-医学免疫学,271,免疫耐受
9,章节练习,41,基础医学综合-医学免疫学,291,抗感染免疫
9,章节练习,41,基础医学综合-医学免疫学,300,超敏反应
9,章节练习,41,基础医学综合-医学免疫学,310,自身免疫和自身免疫性疾病
9,章节练习,41,基础医学综合-医学免疫学,322,免疫缺陷病
9,章节练习,41,基础医学综合-医学免疫学,456,肿瘤免疫
9,章节练习,41,基础医学综合-医学免疫学,342,移植免疫
9,章节练习,41,基础医学综合-医学免疫学,351,免疫学检测技术
9,章节练习,41,基础医学综合-医学免疫学,475,免疫学防治
9,章节练习,38,基础医学综合-病理学,3,细胞、组织的适应、损伤和修复
9,章节练习,38,基础医学综合-病理学,36,局部血液循环障碍
9,章节练习,38,基础医学综合-病理学,64,炎症
9,章节练习,38,基础医学综合-病理学,101,肿瘤
9,章节练习,38,基础医学综合-病理学,129,心血管系统疾病
9,章节练习,38,基础医学综合-病理学,156,呼吸系统疾病
9,章节练习,38,基础医学综合-病理学,182,消化系统疾病
9,章节练习,38,基础医学综合-病理学,208,泌尿系统疾病
9,章节练习,38,基础医学综合-病理学,241,内分泌系统疾病
9,章节练习,38,基础医学综合-病理学,252,乳腺及女性生殖系统疾病
9,章节练习,38,基础医学综合-病理学,268,常见传染病及寄生虫病
9,章节练习,38,基础医学综合-病理学,292,艾滋病、性传播疾病
9,章节练习,38,基础医学综合-病理学,450,免疫性疾病
9,章节练习,38,基础医学综合-病理学,451,淋巴造血系统疾病
9,章节练习,39,基础医学综合-药理学,4,药物效应动力学
9,章节练习,39,基础医学综合-药理学,37,药物代谢动力学
9,章节练习,39,基础医学综合-药理学,65,胆碱受体激动药
9,章节练习,39,基础医学综合-药理学,102,抗胆碱酯酶药和胆碱酯酶复活药
9,章节练习,39,基础医学综合-药理学,130,M胆碱受体阻断药
9,章节练习,39,基础医学综合-药理学,157,肾上腺素受体激动药
9,章节练习,39,基础医学综合-药理学,183,肾上腺素受体阻断药
9,章节练习,39,基础医学综合-药理学,223,局部麻醉药
