Title,Explain,TestPoint,Answer,OptionA,OptionB,OptionC,OptionD,OptionE,StyleType,AllTestID,ATestID,SrcID,SbjID,CptID,章节名称,科目名称,试题名称
月经周期规则，末次月经2010年1月28日，预产期应是,按末次月经第1日算起，月份减3或加9，日数加7（注意大小月的计算）特殊：如2007.5.28。年份被4整除的为润年2月为29天（非润年为28天）35-29=6那就是2008.3.6。,,D,2010年11月1日,2010年11月2日,2010年11月3日,2010年11月4日,2010年11月5日,ATEST,39000145,,9,50,379,章节练习,临床医学综合-女性生殖系统,综合复习题
为确定宫颈癌诊断，最可靠的诊断方法为,"早期发现、早期诊断、早期治疗是提高子宫颈癌治愈率的关键。早期发现主要依靠预防性普查。早期诊断方法有以下几种①宫颈刮片细胞学检查：是普查采用的主要方法，必须在宫颈移行带处刮片检查。②宫颈活检：以涂碘不着色区行多点活组织检查，为确诊宫颈癌的可靠方法。③宫颈锥形切除：当宫颈刮片多次检查为阳性，但多,处活检或诊刮不能证实，或病检不能排除浸润癌时，可进行宫颈锥形切除术。④阴道镜和阴道显微镜检查：对子宫颈表面进行放大观察，观察有无异型上皮或早期癌变，并可选择活检部位，提高活检的阳性率。故正确答案为E。",宫颈癌诊断方法,E,宫颈刮片细胞学检查,碘试验,阴道镜检查,氮激光肿瘤固有荧光诊断法,宫颈活检,ATEST,39000146,,9,50,379,章节练习,临床医学综合-女性生殖系统,综合复习题
阴道黏膜上皮为,宫颈主要由结缔组织构成，含少量平滑肌纤维、血管及弹性纤维。宫颈阴道部由复层鳞状上皮覆盖，表面光滑。宫颈外口柱状上皮与鳞状上皮交接处是宫颈痼的好发部位。宫颈管黏膜也受性激素影响发生周期性变化。,被覆上皮,C,单层高柱状上皮,有纤毛的高柱状上皮,复层鳞状上皮化,鳞状上皮化生,生发上皮,ATEST,39000147,,9,50,379,章节练习,临床医学综合-女性生殖系统,综合复习题
女性，35岁。G1P0，孕39+6周，上午6时起宫缩32～37秒/4～5分钟，强度(++)～(+++)，胎心率140次／分，LOA，上午8时入院，入院时肛查：宫口开1cm，先露S-1；下午8时，宫缩20～25秒／7～8分，强度(++)～(+++)，宫口开大8cm，胎心率155次／分，阴道检查：坐骨切迹<2指，骶凹平坦，坐骨结节间径7.5cm，可能的诊断是,1.年龄超过30岁第一次分娩的孕妇，称之为高龄初产妇。2.盆腔入口：以前后径（骶耻内径）最为重要，扁平骨盆的前后径较小，入口前后径＜10cm，将影响儿头入盆。2.骨盆出口：坐骨结节间径＜8cm，坐骨切迹＜2横指，可诊断骨盆出口狭窄，临床上单纯出口平面狭窄少见，多同时伴有骨盆中平面狭窄。题干中：坐骨切迹<2指，骶凹平坦，坐骨结节间径7.5cm说明骨盆出口狭窄，因单纯出口平面狭窄少见，故能的诊断是中骨盆和出口狭窄。正确答案为E。,骨盆解剖,E,高龄初产,骨盆入口狭窄,骨盆入口和出口狭窄,出口狭窄,中骨盆和出口狭窄,ATEST,39000148,,9,50,379,章节练习,临床医学综合-女性生殖系统,综合复习题
关于宫内节育器避孕原理，错误的是,1.宫内节育器因大量的吞噬细胞被覆于子宫内膜表面，吞噬精子，影响受精。2.宫内节育器的长期刺激使子宫内膜发生轻度损伤及慢性炎症反应，导致内膜产生前列腺素，使子宫收缩增加和输卵管蠕动异常，使受精卵发育与子宫内膜的发育不同步，从而影响着床。3.放置宫内节育器后受压的内膜缺血缺氧，激活纤溶酶，使局部纤溶活性增强，使囊胚溶解吸收。4.宫内节育器不能抑制下丘脑-垂体-卵巢轴的作用。正确答案为A。,宫内节育器,A,抑制排卵,宫腔的机械作用,非细菌性炎性反应,前列腺素释放,活性物质释放,ATEST,39000149,,9,50,379,章节练习,临床医学综合-女性生殖系统,综合复习题
最容易发生扭转的卵巢肿瘤是,卵巢肿瘤蒂扭转，容易发生于蒂长、中等大小、活动、重心偏重于一侧的肿瘤，即卵巢囊性畸胎瘤。正确答案为D。,卵巢肿瘤,D,无性细胞瘤,内胚窦瘤,颗粒细胞瘤,囊性畸胎瘤,两性母细胞瘤,ATEST,39000150,,9,50,379,章节练习,临床医学综合-女性生殖系统,综合复习题
关于老年性阴道炎的描述，错误的是,老年性阴道炎常见于绝经后的老年妇女，因卵巢功能衰退，雌激素水平降低，阴道壁萎缩，黏膜变薄，上皮细胞内糖原含量减少，阴道内pH值上升，局部抵抗力降低，致病菌易入侵繁殖引起炎症。正确答案为C。,老年性阴道炎的特点,C,雌激素水平下降,阴道粘膜变薄,上皮细胞内糖原含量上升,阴道内pH增高,局部抵抗力降低,ATEST,39000151,,9,50,379,章节练习,临床医学综合-女性生殖系统,综合复习题
白色稠厚呈凝乳块状白带主要见于,白色稠厚呈凝乳块状白带见于念珠菌性阴道炎。1.念珠菌性阴道炎临床表现为：①外阴奇痒、灼痛。还可有尿频、尿痛及性交痛。②阴道分泌物增多，呈白色稠厚豆渣样或白膜状。③阴道黏膜充血，表面可有不易剥离的白色片状薄膜。2.滴虫性阴道炎：主要症状为黄绿色泡沫白带增多与外阴瘙痒，白带稀薄并有腥臭。3.细菌性阴道炎：临床症状为阴道异常分泌物明显增多，呈稀薄均质状或稀糊状，为灰白色，灰黄色或乳黄色，带有特殊的鱼腥臭味。4.淋菌性阴道炎：表现为下腹部疼痛，阴道分泌物增多，显脓性白带，阴道口红肿疼痛。5.老年性阴道炎：外阴有痒、烧灼或刺痛感，如有继发感染，排尿也感疼痛。故正确答案为E。,阴道炎,E,滴虫性阴道炎,细菌性阴道病,淋菌性阴道炎,老年性阴道炎,念珠菌性阴道炎,ATEST,39000152,,9,50,379,章节练习,临床医学综合-女性生殖系统,综合复习题
急性淋病的治疗，首选药物是,治疗淋病应尽早彻底，遵循及时、足量、规范用药的原则。急性淋病由淋病奈瑟菌感染引起，首选治疗药物是青霉素。若对青霉素过敏，可选择第三代头孢菌素类，首选药物为头孢菌素钠。故正确答案为A。,淋病的治疗,A,青霉素,链霉素,红霉素,庆大霉素,阿霉素,ATEST,39000154,,9,50,379,章节练习,临床医学综合-女性生殖系统,综合复习题
人流后1年未见月经来潮，子宫、附件均正常，孕激素试验(-)，基础体温双相，人工周期治疗3个月仍不见月经，其闭经原因可能是（）。,1.孕激素试验(-)说明病人没有怀孕。2.基础体温双相说明卵巢无病变，功能正常3.高催乳素血症以溢乳和性腺功能减退为突出表现，如病人同时出现溢乳和闭经，称为溢乳-闭经综合征。4.人工周期治疗不见月经，提示为子宫内膜损伤。故正确答案为A。,人工流产的并发症,A,子宫内膜损伤,卵巢病变,垂体病变,下丘脑病变,高催乳素血症,ATEST,39000155,,9,50,379,章节练习,临床医学综合-女性生殖系统,综合复习题
